,banksy_niche,core_global,curl,elongation,purity,linearity
125,1,tma3_F2,0.0,0.6692686719401926,0.6451612903225806,1.0
126,1,tma3_F2,0.0,0.5549252529579611,0.7083333333333334,1.0
127,1,tma3_E2,0.0,0.43660922677752034,0.9,1.0
128,1,tma3_E2,0.0,0.5491128860740444,0.5882352941176471,0.8187714015464068
129,1,tma3_E2,0.0,0.5918606019443916,0.8518518518518519,0.8450710065779109
130,1,tma3_E2,0.0,0.4723495327489835,0.8666666666666667,1.0
131,1,tma3_E2,0.0,0.5426645983479763,0.7608695652173914,1.0
132,1,tma3_E2,0.0,0.22573790549998507,1.0,0.8630258089816922
133,1,tma3_E2,0.0,0.13919821900213725,0.6346153846153846,0.8021016570388569
134,1,tma3_E2,0.0,0.5548677513215551,0.7857142857142857,0.8997736810740127
135,1,tma3_E2,0.0,0.2644564939104449,0.8245614035087719,0.8866204312096024
136,1,tma3_E2,0.0,0.4081079277805908,1.0,0.8020340376110118
137,1,tma3_E2,0.0,0.38296458280992884,0.9259259259259259,1.0
138,1,tma3_E2,0.0,0.5244889646137066,0.8974358974358975,1.0
139,1,tma3_E2,0.0,0.21429392888168008,1.0,1.0
140,1,tma3_F3,0.02558542631554339,0.012351848029261148,0.4474187380497132,0.8651617913492786
141,1,tma3_F3,0.0,0.5747088283362981,0.75,1.0
142,1,tma3_F3,0.0,0.4713643637196515,0.5099009900990099,0.8603408204270464
143,1,tma3_F3,0.0,0.5807455044593086,0.5632183908045977,0.9038603752344283
144,1,tma3_F3,0.0,0.30745891040655293,0.6547619047619048,0.7523225838907547
145,1,tma3_F3,0.0,0.24785120154339502,0.5633802816901409,0.7651413127355523
146,1,tma3_E3,0.0,0.5495824510361393,1.0,1.0
147,1,tma3_E3,0.0,0.6069532311774105,0.455026455026455,1.0
148,1,tma3_E3,0.0,0.5409918676628891,0.7931034482758621,1.0
149,1,tma3_E3,0.0,0.5413421264114072,0.5853658536585366,0.9216301886198508
150,1,tma3_E3,0.0,0.7559739854123563,0.4896551724137931,1.0
151,1,tma3_E3,0.0,0.7380921743144817,0.85,1.0
152,1,tma3_E3,0.0,0.7760408234190961,0.7894736842105263,1.0
153,1,tma3_E3,0.0,0.5153039879236666,1.0,0.9019366283684768
154,1,tma3_D3,0.0,0.5645918749864824,0.7428571428571429,0.837053131491839
155,1,tma3_D3,0.0,0.5393640439798602,0.7307692307692307,1.0
156,1,tma3_D3,0.0,0.7309848760413022,0.8974358974358975,1.0
157,1,tma3_D3,0.0,0.4403509605453516,0.8285714285714286,1.0
158,1,tma3_D3,0.0,0.5524652795741376,0.6619718309859155,0.8153848275680552
159,1,tma3_D3,0.0,0.041649171567190835,0.4958791208791209,1.0
160,1,tma3_D3,0.0,0.34625673496628906,1.0,1.0
161,1,tma3_D3,0.0,0.6031979079572808,0.85,1.0
162,1,tma3_D3,0.0,0.5876281999002461,0.8125,0.8352283222147472
163,1,tma3_D3,0.0,0.5465889483589712,1.0,1.0
164,1,tma3_D3,0.0,0.6320868703638631,1.0,1.0
165,1,tma3_D3,0.0,0.6541710823473117,1.0,1.0
166,1,tma3_D3,0.0,0.7605007730083125,0.9565217391304348,0.905246721136344
167,1,tma3_D3,0.0,0.3253220712728221,0.46153846153846156,0.8282763736264072
168,1,tma3_D3,0.0,0.26173293355793303,0.7906976744186046,0.7260422542139457
169,1,tma3_D3,0.0,0.13386740188336255,0.6457142857142857,1.0
170,1,tma3_D3,0.0,0.11866387316724791,0.6697530864197531,0.7647790522432152
171,1,tma3_D3,0.0,0.5155368311265527,0.92,1.0
172,1,tma3_D3,0.0,0.6618569355358429,0.7352941176470589,0.8658666412370144
173,1,tma3_D3,0.0,0.48623109274235554,0.8333333333333334,0.8306105632829904
174,1,tma3_D3,0.0,0.48813574644678515,0.875,0.7923726405856144
175,1,tma3_D3,0.0,0.6562511997086489,0.6923076923076923,1.0
176,1,tma3_D3,0.0,0.45158075854780066,0.7555555555555555,0.9257612067852673
177,1,tma3_D3,0.0,0.369585636839304,0.95,1.0
178,1,tma3_E3,0.0,0.4067170436889498,0.7815126050420168,0.8284558719790339
179,1,tma3_E3,0.0,0.4173942974853848,0.9259259259259259,0.8318094663332652
180,1,tma3_E3,0.0,0.4350195293185063,0.8461538461538461,1.0
181,1,tma3_F3,0.0,0.7277765997780798,0.9310344827586207,1.0
182,1,tma3_F3,0.0,0.3972794014692905,0.8235294117647058,1.0
183,1,tma3_F3,0.0,0.6143544041041926,0.8421052631578947,1.0
184,1,tma3_F3,0.0,0.557856604069344,0.5579710144927537,0.804601226658882
185,1,tma3_F3,0.0,0.33103028986050353,0.44642857142857145,1.0
186,1,tma3_E3,0.0,0.5336259704049426,0.7428571428571429,1.0
187,1,tma3_E3,0.0,0.5136945716893881,0.5517241379310345,1.0
188,1,tma3_E3,0.0,0.612356468594625,0.6904761904761905,1.0
189,1,tma3_F3,0.0,0.48304730392328377,0.7021276595744681,0.7671439720226764
190,1,tma3_F3,0.0,0.1790229148347492,0.8235294117647058,0.7516985265176693
191,1,tma3_F3,0.0,0.2759189424179608,0.4580152671755725,0.783444689187403
192,1,tma3_F3,0.0,0.21287255442036745,0.49612403100775193,1.0
193,1,tma3_F3,0.0,0.3290029037009389,0.5657894736842105,0.8206551399491672
194,1,tma3_F3,0.0,0.33249989633104304,0.8425925925925926,1.0
195,1,tma3_E3,0.0,0.8289404955485689,0.4942528735632184,1.0
196,1,tma3_E3,0.0,0.0657849010488315,1.0,1.0
197,1,tma3_E3,0.0,0.2432180674195269,0.8636363636363636,0.8921671322890129
198,1,tma3_E3,0.0,0.652958977499233,0.5498154981549815,1.0
199,1,tma3_E3,0.0,0.43654114798114885,0.6287878787878788,0.8299435992328977
200,1,tma3_E3,0.0,0.4533040510222066,0.8256880733944955,0.7652285432900646
201,1,tma3_E3,0.0,0.6550762096196748,0.9285714285714286,1.0
202,1,tma3_E3,0.0,0.18155928097377316,0.5901639344262295,0.7785843670272555
203,1,tma3_E3,0.0,0.10128817645264465,0.7555555555555555,1.0
204,1,tma3_E3,0.0,0.5970094057022626,0.8809523809523809,1.0
205,1,tma3_D3,0.0,0.5953724144887964,0.8125,1.0
206,1,tma3_D3,0.0,0.5446334296601352,0.5660377358490566,0.8609975258418456
207,1,tma3_C3,0.0,0.6392474852513925,0.7307692307692307,1.0
208,1,tma3_C3,0.0,0.36402438426094996,1.0,1.0
209,1,tma3_C3,0.0,0.6594215116772442,0.6785714285714286,1.0
210,1,tma3_C3,0.0,0.5403296008834699,0.6091954022988506,1.0
211,1,tma3_C3,0.0,0.6003387431999352,0.5862068965517241,1.0
212,1,tma3_C3,0.0,0.6380726326017538,0.5897435897435898,1.0
213,1,tma3_C3,0.0,0.31454917714604536,1.0,0.7439705302070598
214,1,tma3_C3,0.0,0.5513880583948503,0.48,1.0
215,1,tma3_C3,0.0,0.4444653866684196,1.0,1.0
216,1,tma3_C3,0.0,0.7504696041162578,0.5785123966942148,1.0
